"ANYO","DEPTO","VARIABLE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
2010,"NARINYO","PRECIP",106.237222222222,185.066120218579,146.014207650273,282.555191256831,202.149180327869,204.820765027322,204.475409836066,84.3207650273224,146.299453551913,177.758988764045,351.838857142857,295.181460674157
2011,"NARINYO","PRECIP",184.035570469799,233.172619047619,188.553289473684,275.295945945946,155.214473684211,135.322,182.541891891892,82.313698630137,91.7537313432836,209.898550724638,150.110204081633,218.129752066116
2012,"NARINYO","PRECIP",312.980952380952,192.413559322034,174.585714285714,251.690740740741,204.476363636364,132.952727272727,91.1833333333333,53.4717391304348,43.4666666666667,175.048214285714,207.632075471698,144.539622641509
2013,"NARINYO","PRECIP",154.283928571429,215.121153846154,194.151020408163,275.008571428571,294.12037037037,93.1574074074074,110.528846153846,107.383333333333,68.308,173.597916666667,150.208510638298,162.995348837209
2014,"NARINYO","PRECIP",208.542708333333,132.14756097561,231.816511627907,150.988974358974,262.068636363636,125.135384615385,129.42,168.96,193.42,247.37,NA,334.99
2007,"NORTE SANTANDER","PRECIP",62.1739726027397,29.8506849315068,146.574666666667,184.726666666667,224.021052631579,134.875675675676,133.525333333333,289.164864864865,184.153333333333,338.393333333333,198.2,149
2008,"NORTE SANTANDER","PRECIP",61.4671232876712,80.195945945946,75.5081081081081,164.727027027027,241.869333333333,150.967142857143,172.923943661972,249.177464788732,188.259154929577,311.3,323.54,176.542647058824
2009,"NORTE SANTANDER","PRECIP",109.50303030303,132.2328125,213.298529411765,139.871641791045,196.461764705882,150.436231884058,137.691428571429,159.969565217391,120.398507462687,191.513043478261,163.384375,50.2846153846154
2010,"NORTE SANTANDER","PRECIP",12.8421428571429,52.4463768115942,128.703571428571,225.298591549296,254.030215827338,186.20985915493,260.954676258993,221.494890510949,426.15671641791,233.383703703704,397.633834586466,283.924615384615
2011,"NORTE SANTANDER","PRECIP",104.35,127.271538461538,177.893798449612,356.162857142857,304.310638297872,205.724705882353,139.590476190476,170.526582278481,180.691666666667,181.935,337.03220338983,239.106896551724
2012,"NORTE SANTANDER","PRECIP",100.94375,40.1953846153846,172.771428571429,329.51,175.847540983607,111.680327868852,130.533870967742,182.034426229508,156.941666666667,270.461290322581,169.401639344262,79.6698412698413
2013,"NORTE SANTANDER","PRECIP",32.7516129032258,67.0296875,117.148333333333,165.84,233.998360655738,122.823636363636,101.749122807018,214.954716981132,161.091666666667,172.239473684211,171.623529411765,68.4111111111111
2014,"NORTE SANTANDER","PRECIP",28.575,38.43,66.595,92.005,123.28,57.36,72.71,126.64,194.75,233.62,NA,69.29
2007,"PUTUMAYO","PRECIP",188.383333333333,59.348275862069,334.866666666667,349.273333333333,370.043333333333,517.827586206897,318.325,332.221428571429,281.951724137931,301.46,309.606666666667,322.720689655172
2008,"PUTUMAYO","PRECIP",239.556666666667,298.746666666667,202.48275862069,263.728571428571,372.32962962963,426.421428571429,389.721428571429,226.986206896552,280.134482758621,306.08275862069,279.2,201.228571428571
2009,"PUTUMAYO","PRECIP",300.431034482759,281.448275862069,350.125,356.532142857143,339.125,436.807142857143,420.789655172414,306.786206896552,221.444827586207,220.862068965517,246.567857142857,217.955555555556
2010,"PUTUMAYO","PRECIP",89.7896551724138,239.744827586207,342.520689655172,471.631034482759,238.382456140351,363.531034482759,289.827586206897,166.431034482759,176.482456140351,214.785964912281,229.267857142857,191.635185185185
2011,"PUTUMAYO","PRECIP",159.581132075472,156.125454545455,274.58679245283,360.701923076923,425.761538461538,383.26,397.878723404255,204.16976744186,264.461538461538,209.689655172414,234.637931034483,365.251724137931
2012,"PUTUMAYO","PRECIP",232.089285714286,295.738461538462,521.004,339.917391304348,332.936,354.541666666667,480.869565217391,291.6,175.230434782609,234.490909090909,205.157142857143,286.83
2013,"PUTUMAYO","PRECIP",138.777272727273,324.931818181818,336.977272727273,280.853846153846,455.045454545455,385.695454545455,513.142857142857,408.315789473684,253.033333333333,264.555,216.735294117647,183.933333333333
2014,"PUTUMAYO","PRECIP",173.594375,155.793846153846,240.615833333333,385.33875,427.825,487.521666666667,461.56,247.66,217.37,289.49,NA,218.31
2007,"QUINDIO","PRECIP",89.8666666666667,96.8666666666667,167.533333333333,278.8,259.866666666667,94.5666666666667,117.133333333333,107.366666666667,110.133333333333,419.933333333333,342.066666666667,430.7
2008,"QUINDIO","PRECIP",214.9,245.733333333333,306.033333333333,215.2,408.633333333333,169.433333333333,93,159.533333333333,138,205.9,571,256.433333333333
2009,"QUINDIO","PRECIP",143.266666666667,170.466666666667,248.333333333333,172.433333333333,189.666666666667,142.766666666667,30.5333333333333,46.9666666666667,44.4666666666667,165.666666666667,224.8,144
2010,"QUINDIO","PRECIP",11.8333333333333,59.4666666666667,72.5666666666667,412.6,277.466666666667,176.266666666667,316.666666666667,120.733333333333,193.533333333333,407.966666666667,651.166666666667,387.433333333333
2011,"QUINDIO","PRECIP",121.1,321.233333333333,252.866666666667,521.266666666667,194.266666666667,178.466666666667,163.333333333333,74.9666666666667,178.733333333333,495.433333333333,649.4,448.9
2012,"QUINDIO","PRECIP",275.133333333333,107.133333333333,179.266666666667,400.766666666667,209.133333333333,82.7333333333333,75.3333333333333,68.1,34.2,412.766666666667,255.1,231.5
2013,"QUINDIO","PRECIP",70.1666666666667,296,226.1,208.033333333333,353.466666666667,45.6333333333333,22.7,71.3666666666667,73,322.9,534.666666666667,289.633333333333
2014,"QUINDIO","PRECIP",175.555,184.9575,271.705,193.305,261.8475,77.41,25.22,30.76,142.43,294.29,NA,172.74
2007,"RISARALDA","PRECIP",133.990476190476,53.225,298.33,327.271428571429,309.635,127.7,197.81,198.74,144.342105263158,352.457894736842,229.233333333333,255.052380952381
2008,"RISARALDA","PRECIP",142.385714285714,206.268181818182,229.252380952381,225.085714285714,344.042857142857,251.568181818182,229.304545454545,297.336363636364,168.514285714286,243.259090909091,406.363636363636,230.968181818182
2009,"RISARALDA","PRECIP",200.863636363636,158.054545454545,253.986363636364,221.359090909091,235.254545454545,229.172727272727,96.9090909090909,189.990909090909,97.65,210.072727272727,239.627272727273,133.261904761905
2010,"RISARALDA","PRECIP",46.13,129.255,135.995238095238,272.6,295.028571428571,275.685714285714,343.24,210.514285714286,265.614285714286,285.147619047619,440.607317073171,292.815
2011,"RISARALDA","PRECIP",154.07,257.605,245.029268292683,419.302631578947,212.965789473684,215.052777777778,230.434210526316,130.94358974359,164.852777777778,403.425,431.685,324.989473684211
2012,"RISARALDA","PRECIP",215.895,125.195,223.29,300.305,204.794736842105,90.1157894736842,77.8142857142857,136.9,73.12,280.309523809524,250.914285714286,153.35
2013,"RISARALDA","PRECIP",54.8619047619048,246.614285714286,209.975,218.72,348.075,158.975,91.3421052631579,195.645,178.47619047619,234.366666666667,260.953333333333,247.691666666667
2014,"RISARALDA","PRECIP",157.393333333333,164.809230769231,190.092307692308,221.55,236.005384615385,103.94,34.39,74.85,170.36,301.14,NA,161.95
2007,"SAN ANDRES Y PR","PRECIP",55.5285714285714,11.0285714285714,25.5285714285714,15.7166666666667,111.942857142857,236.114285714286,143.9,283.466666666667,171.966666666667,312.883333333333,332.457142857143,108.733333333333
2008,"SAN ANDRES Y PR","PRECIP",127.633333333333,37.48,13.1166666666667,34.35,273.35,141.057142857143,211.542857142857,166.957142857143,175.014285714286,459.05,499.614285714286,129.242857142857
2009,"SAN ANDRES Y PR","PRECIP",25.25,58.825,24.7714285714286,7.45714285714286,7.37142857142857,198.8,123.466666666667,158.057142857143,265.314285714286,387.442857142857,227.542857142857,43.0714285714286
2010,"SAN ANDRES Y PR","PRECIP",158.328571428571,9.44285714285714,5.1,19.1428571428571,126.757142857143,182.385714285714,386.4,364.957142857143,191.885714285714,496.445454545455,280.718181818182,45.1909090909091
2011,"SAN ANDRES Y PR","PRECIP",112.269230769231,42.1384615384615,20.3153846153846,7.38461538461538,119.784615384615,275.938461538462,234.776923076923,89.0875,149.685714285714,566.2,374.485714285714,278.671428571429
2012,"SAN ANDRES Y PR","PRECIP",131.3,26.86,12.8666666666667,62.1833333333333,95.85,76.1166666666667,126.2,167.34,189.58,188.2,324.425,57.125
2013,"SAN ANDRES Y PR","PRECIP",36.35,15.3666666666667,21.4833333333333,18.6666666666667,48.15,108.55,36.18,164.766666666667,314.883333333333,293.666666666667,174.5,95.4
2014,"SAN ANDRES Y PR","PRECIP",97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"SANTANDER","PRECIP",60.6068702290076,39.6807692307692,235.949618320611,260.627480916031,287.7,135.970634920635,157.421428571429,247.8768,189.2552,345.245238095238,163.934351145038,134.695454545455
2008,"SANTANDER","PRECIP",69.96015625,118.448091603053,177.523308270677,198.687786259542,313.248091603053,189.496212121212,205.637096774194,251.7125,216.551181102362,290.456153846154,345.013385826772,63.632
2009,"SANTANDER","PRECIP",113.767938931298,100.892366412214,258.338345864662,191.500746268657,205.047014925373,227.398484848485,109.267424242424,207.959848484848,117.82578125,262.12619047619,177.578225806452,90.2173553719008
2010,"SANTANDER","PRECIP",21.4639130434783,78.7541125541126,150.690434782609,211.709012875536,316.817596566524,251.02974137931,283.832203389831,253.710212765957,336.681974248927,286.541592920354,335.707692307692,205.739366515837
2011,"SANTANDER","PRECIP",57.3857777777778,120.781165919283,208.821634615385,377.34472361809,289.801863354037,187.412413793103,178.309489051095,182.481147540984,156.011538461538,312.905434782609,315.870588235294,203.263855421687
2012,"SANTANDER","PRECIP",72.5929292929293,47.45,192.762376237624,330.586274509804,194.835643564356,136.052475247525,121.337254901961,179.246,137.551041666667,276.011458333333,150.469791666667,78.1873684210526
2013,"SANTANDER","PRECIP",33.4448979591837,145.514141414141,167.668686868687,209.776288659794,271.675257731959,134.50206185567,83.8571428571429,210.024719101124,185.122093023256,186.273529411765,199.014285714286,39.65
2014,"SANTANDER","PRECIP",48.4883333333333,157.111666666667,110.431666666667,129.84,150.116666666667,84.49,81.5,168.59,221.87,208.18,NA,89.02
2007,"SUCRE","PRECIP",2.27,12.7125,40.5666666666667,142.936585365854,233,232.570731707317,197.7675,290.782051282051,184.99,269.3825,137.0425,112.265853658537
2008,"SUCRE","PRECIP",11.7425,27.3425,58.2358974358974,101.04,184.048780487805,202.3575,326.134146341463,293.519512195122,212.90487804878,189.436585365854,237.280487804878,33.89
2009,"SUCRE","PRECIP",31.5230769230769,15.1,65.885,119.336842105263,167.980555555556,172.876470588235,175.705714285714,219.677142857143,159.22,176.852777777778,137.765789473684,32.527027027027
