ANYO,DEPTO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2009,CAQUETA,2,1,1,0,2,0,3,2,0,1,1,3,0,0,0,3,2,1,4,2,0,0,2,1,2,0,1,3,0,0,1,0,0,2,2,1,1,0,0,1,1,2,0,2,0,3,2,2,1,0,1,2,
2009,CASANARE,2,2,1,2,2,2,0,2,0,3,3,0,2,0,6,2,2,1,2,6,2,1,1,3,2,2,2,3,2,1,4,2,3,4,2,3,6,1,7,5,3,2,2,1,3,2,1,4,3,1,2,0,
2009,CAUCA,1,3,4,1,5,3,2,2,1,4,1,2,1,0,2,0,3,0,0,1,2,2,1,2,1,0,0,1,0,1,0,1,3,2,5,5,2,2,1,5,1,4,0,0,0,4,1,1,4,1,3,3,
2009,CESAR,2,2,1,2,2,4,1,0,1,2,1,0,0,2,3,2,2,2,0,1,0,1,2,3,1,1,1,3,3,2,2,1,1,4,0,5,2,1,5,2,2,3,4,1,1,1,2,3,2,2,2,3,
2009,CHOCO,2,4,4,2,4,2,5,2,1,2,1,1,5,1,4,3,1,0,0,2,2,0,0,3,1,2,1,2,2,0,2,1,0,3,2,0,3,0,3,0,0,1,1,1,3,3,4,1,1,1,2,2,
2009,CORDOBA,2,1,2,0,2,1,2,4,2,1,3,0,6,2,6,8,2,2,3,6,1,5,1,3,4,3,1,4,1,1,2,1,3,1,4,6,3,2,5,5,1,2,2,1,6,3,5,3,6,3,10,0,
2009,CUNDINAMARCA,0,0,0,1,1,2,0,2,0,1,1,1,2,1,0,0,0,2,1,0,1,0,0,1,0,1,2,0,1,1,0,3,0,0,3,0,1,0,0,2,0,1,0,2,0,2,2,0,1,1,0,0,
2009,EXTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2009,GUAINIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,
2009,GUAJIRA,6,2,2,2,2,1,2,2,2,1,1,0,0,1,0,1,0,1,1,1,0,2,0,2,8,4,4,4,3,2,2,1,0,1,2,1,3,1,2,0,2,0,1,1,0,1,3,5,4,1,0,0,
2009,GUAVIARE,1,1,0,1,1,0,0,2,2,1,0,1,2,1,2,1,2,2,1,3,1,1,1,2,1,1,2,0,3,2,0,4,0,0,1,3,3,1,2,2,1,1,1,1,1,2,3,4,0,1,1,3,
2009,HUILA,3,2,1,0,1,1,6,2,2,2,2,3,1,1,4,5,2,1,1,1,2,4,4,0,2,3,2,1,2,1,4,0,1,0,3,1,2,1,4,1,3,2,0,2,1,4,1,5,6,3,1,1,
2009,MAGDALENA,2,2,1,3,0,1,1,0,0,1,2,1,0,2,3,1,1,3,3,6,0,3,0,3,1,2,4,0,1,0,4,3,4,2,0,2,4,5,2,1,4,3,0,2,8,3,2,1,2,3,2,1,
2009,META,3,2,5,0,2,2,7,3,4,5,3,1,9,2,5,8,9,2,3,8,3,3,3,6,2,4,1,5,6,3,6,6,6,8,2,7,0,8,6,4,1,1,6,2,1,5,2,1,8,2,5,2,
2009,NARINYO,3,3,0,1,1,2,0,1,2,2,0,3,4,0,1,3,1,2,2,2,0,1,0,2,0,0,2,0,2,1,0,2,0,0,2,0,0,4,0,2,1,0,2,3,4,3,2,1,2,0,1,2,
2009,NORTE SANTANDER,2,7,6,5,6,5,6,2,3,4,6,6,4,6,6,4,4,4,3,1,2,5,4,0,3,2,2,3,4,2,1,0,3,2,3,5,4,3,1,6,3,8,1,6,0,4,4,2,2,1,0,2,
2009,PROCEDENCIA DESCONOCIDA,2,1,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,
2009,PUTUMAYO,2,2,0,2,2,6,1,3,1,1,3,2,5,0,1,4,5,0,1,2,2,0,2,1,4,1,4,0,2,4,3,2,2,1,2,0,1,0,0,2,2,1,1,1,0,1,3,3,4,3,0,2,
2009,QUINDIO,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,3,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,
2009,RISARALDA,0,1,1,1,2,1,0,0,0,2,2,0,1,0,2,0,0,0,0,2,2,1,0,2,2,1,2,0,0,0,1,1,0,0,4,0,0,0,0,2,1,1,0,0,1,0,1,0,1,0,1,0,
2009,SANTANDER,2,3,1,0,4,3,4,4,4,6,1,0,0,3,8,5,6,6,6,5,3,4,1,5,3,2,0,5,2,2,4,6,6,0,2,2,2,0,3,2,6,7,2,2,5,4,2,2,4,5,3,0,
2009,SUCRE,0,2,1,0,2,0,0,1,0,1,5,1,0,0,1,1,0,1,3,4,2,0,2,2,2,1,1,2,1,0,1,0,4,0,3,1,1,0,0,2,0,2,1,0,1,2,1,0,3,4,1,1,
2009,TOLIMA,1,0,1,2,2,4,0,1,0,2,1,3,4,0,1,1,0,2,2,2,2,2,0,6,0,1,1,0,2,0,1,1,2,1,2,0,2,2,1,0,1,3,0,0,2,0,2,3,2,2,5,2,
2009,VALLE,2,2,3,2,1,1,1,1,3,4,2,1,2,2,4,3,3,3,1,2,1,4,6,3,1,3,2,1,2,6,0,1,2,1,1,1,2,2,3,4,4,6,2,3,1,1,3,3,4,2,0,1,
2009,VAUPES,1,2,0,1,0,2,0,3,3,0,0,1,1,1,2,2,4,1,0,0,1,0,2,0,0,0,0,0,1,3,1,0,1,1,0,2,1,2,1,0,1,0,0,5,3,0,1,1,1,0,0,0,
2009,VICHADA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,1,1,0,3,2,0,1,1,0,2,0,0,0,1,1,0,0,
2010,AMAZONAS,1,0,0,0,1,1,2,2,0,2,1,0,1,1,4,1,6,0,1,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,3,1,0,0,0,1,2,2,0,1,0,2,2,2,0,0,2,1,
2010,ANTIOQUIA,10,9,14,7,15,12,8,9,8,17,15,15,8,16,14,19,14,16,17,19,13,13,13,16,8,9,10,10,9,14,16,18,7,6,10,11,14,9,11,17,19,14,14,17,12,7,18,11,11,7,7,6,
2010,ARAUCA,3,1,6,1,0,1,3,3,2,1,1,1,0,0,3,2,5,1,5,2,2,2,5,4,2,3,2,2,3,2,1,0,1,3,4,1,2,4,2,7,5,2,3,4,4,2,2,4,3,2,1,0,
2010,ATLANTICO,1,1,1,3,1,0,1,1,0,1,0,2,1,0,2,3,1,1,1,1,1,2,1,0,0,0,1,2,2,2,2,0,1,1,2,1,0,3,0,1,3,3,2,2,3,0,1,1,2,0,1,1,
2010,BOGOTA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2010,BOLIVAR,3,6,1,4,3,4,4,3,1,1,1,6,3,4,6,10,3,7,5,6,3,6,3,2,6,5,5,4,9,5,6,3,10,7,2,5,8,4,3,7,5,4,4,5,5,4,3,9,5,3,2,6,
